"Guid","Name","SBQQ__BorderColor__c","SBQQ__BottomMargin__c","SBQQ__ColumnHeaderHidden__c","SBQQ__ConditionalPrintField__c","SBQQ__Content__c","SBQQ__DisplayOrder__c","SBQQ__FilterField__c","SBQQ__FilterOperator__c","SBQQ__FilterValue__c","SBQQ__GroupField__c","SBQQ__KeepTogether__c","SBQQ__KeepWithNext__c","SBQQ__KeepWithPrevious__c","SBQQ__PageBreak__c","SBQQ__QuoteTotalsPrinted__c","SBQQ__RollUpField__c","SBQQ__SummaryDisplay__c","SBQQ__Template__c","SBQQ__TopMargin__c"
18e23299-9016-4002-9077-d6ec699b9fc6,Bottom,"#N/A",0.0,false,"#N/A",4f6374d7-53e7-4189-91bb-4b99b3b315b0,30.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,0.0
3b5ec2db-9a03-4d4d-bfce-ecdf56f32b96,Lines,"#N/A",0.0,false,"#N/A",85714ad6-dd3c-40ff-ad44-b2c8b6d9a25a,20.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,0.0
f3645b8a-677b-4cad-bcdc-ea092261cb29,Top,"#N/A",0.0,false,"#N/A",c415ef5d-ddcd-4671-8d6c-d81435b9d784,10.0,"#N/A","#N/A","#N/A","#N/A",Auto,Auto,"#N/A","#N/A",false,"#N/A","#N/A",90a18a61-d20b-4027-82f7-d27f19bd55f2,0.0
