"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
39381ec0-7d19-4c72-8cd4-14a4ace235a2,"#N/A","#N/A","#N/A",false,c5f75a02-ee1f-4852-bcf9-b0b8340f641a,Add,"#N/A","#N/A","#N/A"
6e986f0a-fe39-4e45-b75b-197576bad7bd,"#N/A","#N/A","#N/A",false,c5f75a02-ee1f-4852-bcf9-b0b8340f641a,Enable,"#N/A","#N/A","#N/A"
918f5ff1-86cf-42e0-b415-c2fca8147d79,"#N/A","#N/A","#N/A",false,c5f75a02-ee1f-4852-bcf9-b0b8340f641a,Remove,"#N/A","#N/A","#N/A"
e8333d87-7818-40c3-8b0a-2cc57b719f7d,"#N/A","#N/A","#N/A",false,c5f75a02-ee1f-4852-bcf9-b0b8340f641a,Add,"#N/A","#N/A","#N/A"
