"Guid","SBQQ__Active__c","SBQQ__AdvancedCondition__c","SBQQ__Body__c","SBQQ__ConditionsMet__c","SBQQ__Locked__c","SBQQ__ParentTerm__c","SBQQ__PrintOrder__c","SBQQ__Quote__c","SBQQ__StandardTerm__c","SBQQ__Status__c","SBQQ__TemplateContent__c"
07c0918c-29bd-4aea-b6fb-5a5fd113e639,false,"#N/A","#N/A",All,false,"#N/A",3.0,"#N/A","#N/A",Draft,"#N/A"
169f9946-43e5-4517-9aa8-1492ea186e74,false,"#N/A","#N/A",All,false,"#N/A",5.0,"#N/A","#N/A",Draft,"#N/A"
94266077-604c-4a40-852f-b84ff7651049,false,"#N/A","#N/A",All,false,"#N/A",1.0,"#N/A","#N/A",Draft,"#N/A"
a806b6ce-400f-4277-b4f8-c4f70f5b4e0e,false,"#N/A","#N/A",All,false,"#N/A",4.0,"#N/A","#N/A",Draft,"#N/A"
e2674f76-4cfe-4704-b5cd-0588fe6d5d6e,false,"#N/A","#N/A",All,false,"#N/A",2.0,"#N/A","#N/A",Draft,"#N/A"
